Entity,Code,Year,Christians,Jews,Muslims,Hindus,Buddhists,Other,No religion
Japan,JPN,2010,2.208921,0.001321784,0.15871897,0.02483479,41.797905,3.6283584,52.179943
Japan,JPN,2020,2.2496302,0.001376222,0.16997391,0.031737354,37.20561,2.885505,57.45617
Jordan,JOR,2010,3.353866,0,96.463875,0.06381237,0.028421966,0.014860217,0.075166725
Jordan,JOR,2020,2.8091633,0,97.08689,0.027908115,0.018849416,0.009790716,0.047398046
Kazakhstan,KAZ,2010,27.322842,0.03394018,69.66153,0,0.094393596,0.022663796,2.8646283
Kazakhstan,KAZ,2020,19.291857,0.04206277,77.904526,0,0.09109044,0.13601622,2.5344465
Kenya,KEN,2010,83.121315,0.00096344,11.224777,0.13922246,0.00072258,3.1085498,2.4044523
Kenya,KEN,2020,85.67029,0.000577081,10.931154,0.12790793,0.000961802,1.6656752,1.6034372
Kiribati,KIR,2010,97.31696,0,0.10287,0,0,2.5346935,0.045471456
Kiribati,KIR,2020,97.5701,0,0.08540649,0,0,2.2440135,0.10047822
Kosovo,OWID_KOS,2010,6.0898457,0.002802875,93.75791,0,0,0,0.14943783
Kosovo,OWID_KOS,2020,5.5983253,0.002231373,94.26041,0,0,0,0.13903357
Kuwait,KWT,2010,9.403462,0.010736058,82.55859,7.380531,0.108175986,0.30285197,0.23564969
Kuwait,KWT,2020,10.53037,0.010824583,80.23991,8.504201,0.1214555,0.34498772,0.24825448
Kyrgyzstan,KGZ,2010,7.7220263,0.009117808,90.552895,0.01568263,0.10297925,0,1.5972961
Kyrgyzstan,KGZ,2020,5.753357,0.004669352,91.71747,0.009338705,0.032685466,1.3127055,1.1697749
Laos,LAO,2010,0.6958295,0,0.06105096,0,63.978752,35.199707,0.06465791
Laos,LAO,2020,1.5394446,0,0.022150202,0,64.162964,34.222607,0.052833665
Latin America-Caribbean (Pew),PEW_LAC,2010,90.10194,0.07587067,0.1206103,0.11284309,0.057280544,1.6907456,7.840712
Latin America-Caribbean (Pew),PEW_LAC,2020,84.63141,0.060482305,0.1165746,0.10759807,0.050572522,3.0950298,11.938336
Latvia,LVA,2010,82.8864,0.3092984,0.7005371,0.019985434,0.072804086,5.0161176,10.994862
Latvia,LVA,2020,77.2676,0.22666748,0.6704086,0.04322496,0.069054514,4.7492247,16.973822
Lebanon,LBN,2010,33.838722,0.008487131,62.315773,0.016173588,0.006905802,3.7965033,0.017434647
Lebanon,LBN,2020,27.906147,0.005650791,67.78356,0.017323207,0.00663968,4.2618737,0.018806541
Lesotho,LSO,2010,97.323135,0.002471886,0.13614228,0.02471886,0,1.0582803,1.4552511
Lesotho,LSO,2020,97.32347,0.00443636,0.21846071,0.044363603,0.0000226578,0.74434406,1.6649034
Liberia,LBR,2010,85.74406,0,12.052026,0.007462768,0,0.7433606,1.4530916
Liberia,LBR,2020,85.16896,0,12.723525,0.005896708,0,1.0351188,1.0664977
Libya,LBY,2010,2.6324744,0.001925402,96.818596,0.08897058,0.28085777,0.080628246,0.09654843
Libya,LBY,2020,0.52461785,0.001906484,98.99452,0.089997694,0.25800115,0.081556775,0.04939395
Lithuania,LTU,2010,92.48455,0.044943765,0.09976198,0.008601415,0.02421139,0.5093205,6.8286123
Lithuania,LTU,2020,92.15047,0.037046697,0.08921702,0.018437974,0.025529502,0.59921926,7.0800815
Luxembourg,LUX,2010,74.39081,0.21296524,0.7310006,0.13422716,0.12818755,4.2049794,20.197832
Luxembourg,LUX,2020,65.88789,0.4861338,1.8289418,0.36008912,0.47947702,5.6711454,25.28632
Macao,MAC,2010,10.130424,0,0.35169756,0,19.578993,2.2403822,67.6985
Macao,MAC,2020,10.117773,0,0.47613204,0,19.554543,2.2375846,67.61397
Madagascar,MDG,2010,69.96261,0.000460171,0.6303311,0.059822228,0.029911114,6.863906,22.452963
Madagascar,MDG,2020,74.20538,0.000354294,1.1594887,0.06366657,0.027457755,2.247811,22.295834
Malawi,MWI,2010,86.94096,0.003397103,11.617261,0.05843018,0.002717683,0.40421298,0.9730164
Malawi,MWI,2020,87.36236,0.001548222,11.551904,0.069153935,0.001548222,0.07214971,0.94134206
Malaysia,MYS,2010,9.249742,0,61.304615,6.279292,19.81785,1.6604683,1.6880329
Malaysia,MYS,2020,9.153185,0,64.117195,6.122179,18.875608,0.88715404,0.8446788
Maldives,MDV,2010,1.6069833,0,94.12314,2.513083,1.3468734,0.33248425,0.07743909
Maldives,MDV,2020,1.646034,0,94.07235,2.5410874,1.3230373,0.34945565,0.06803541
Mali,MLI,2010,3.4705908,0,94.031715,0,0,1.1007712,1.3969247
Mali,MLI,2020,2.5717525,0,94.13371,0,0,0.7692274,2.525308
Malta,MLT,2010,97.05688,0.0146342,0.158912,0.08358109,0.07880503,0.0656098,2.5415769
